day,average_trip_distance,total_fare_amount,trip_count,peak_hour
2022-06-04,122.24024054982819,31205.029999999988,2037,18
2022-06-04,122.24024054982817,31205.029999999988,2037,18
2022-06-04,122.24024054982819,31205.029999999988,2037,18
2022-06-04,122.24024054982819,31205.029999999988,2037,18
2022-06-04,122.24024054982819,31205.029999999988,2037,18
2022-06-04,122.24024054982819,31205.029999999988,2037,18
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.309999999994,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.309999999994,2019,19
2022-06-05,113.3180931154037,30743.309999999994,2019,19
2022-06-05,113.3180931154037,30743.309999999994,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.309999999994,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.309999999994,2019,19
2022-06-05,113.3180931154037,30743.309999999994,2019,19
2022-06-05,113.3180931154037,30743.309999999998,2019,19
2022-06-05,113.3180931154037,30743.309999999994,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.30999999999,2019,19
2022-06-05,113.3180931154037,30743.309999999994,2019,19
2022-06-05,113.3180931154037,30743.309999999994,2019,19
2022-06-06,118.95832070707073,34571.58999999999,2376,18
2022-06-06,118.9583207070707,34571.58999999999,2376,18
2022-06-06,118.9583207070707,34571.58999999999,2376,18
2022-06-06,118.95832070707073,34571.58999999999,2376,18
2022-06-06,118.9583207070707,34571.58999999999,2376,18
2022-06-06,118.95832070707073,34571.58999999999,2376,18
2022-06-06,118.9583207070707,34571.58999999999,2376,18
2022-06-06,118.95832070707073,34571.59,2376,18
2022-06-06,118.95832070707073,34571.59,2376,18
2022-06-06,118.95832070707073,34571.58999999999,2376,18
2022-06-06,118.9583207070707,34571.58999999999,2376,18
2022-06-06,118.9583207070707,34571.58999999999,2376,18
2022-06-06,118.95832070707073,34571.58999999999,2376,18
2022-06-06,118.95832070707073,34571.58999999999,2376,18
2022-06-06,118.95832070707073,34571.58999999999,2376,18
2022-06-06,118.9583207070707,34571.58999999999,2376,18
2022-06-06,118.9583207070707,34571.58999999999,2376,18
2022-06-06,118.95832070707073,34571.58999999999,2376,18
2022-06-06,118.95832070707073,34571.58999999999,2376,18
2022-06-06,118.95832070707073,34571.58999999999,2376,18
2022-06-06,118.95832070707073,34571.58999999999,2376,18
2022-06-06,118.9583207070707,34571.58999999999,2376,18
2022-06-06,118.9583207070707,34571.58999999999,2376,18
2022-06-06,118.9583207070707,34571.58999999999,2376,18
2022-06-07,80.19784937575514,36861.57999999999,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999999,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999999,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999999,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999999,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999999,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999999,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999998,2483,17
2022-06-07,80.19784937575514,36861.57999999999,2483,17
2022-06-07,80.19784937575514,36861.57999999999,2483,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.479999999974,2677,17
