month,avg_trip_distance,total_fare_amount
1,77.73313663702103,869759.4199999936
2,96.15540051009386,976591.1699999971
3,66.6089752798687,1132460.060000001
4,92.74756959497644,1121926.97
5,118.58899126228775,1194864.9300000018
6,104.588853057293,1155162.4400000013
7,86.5333566444459,1001242.9999999964
8,53.96224645815014,1047309.0499999968
9,97.04004389713872,1146182.1199999994
10,92.28695001803108,1074384.4499999986
11,83.3067359450481,934075.1399999973
12,40.35197258534296,1199584.0299999998
