passenger_count,AvgFareAmount
0,21.45270762969042
1,14.302280691905027
2,16.529575279234948
3,17.0399925072586
4,19.458672357962914
5,14.053457192108771
6,12.204637380853713
7,51.92132352941176
8,21.2501052631579
9,34.913
